seller_id,orders,revenue,avg_rating,avg_delivery_days,avg_processing_hours,state,tier
04308b1ee57b6625f47df1d56f00eedf,94,60130.6,3.882978723404255,18.87600291867955,13.010203900709218,SC,Platinum
0432ead42b6c8a0bdf68154add917fdf,85,7792.1,4.477777777777778,8.863279320987655,7.83429012345679,SP,Gold
044668ccd5316b12a7cf0d54a156e3e9,3,137.8,5.0,7.197418981481482,0.31152777777777774,SP,Bronze
04843805947f0fc584fc1969b6e50fe7,1,1400.0,5.0,15.03707175925926,0.2525,RS,Silver
048c2757535328e0d7dac690ad3c0aae,51,9264.78,4.18,18.514625925925927,10.958752723311546,SP,Gold
04aa0a1c5ce6b222003403a3e11c3cc0,11,5518.0,3.5294117647058822,16.365153867102396,15.220522875816997,SP,Gold
04aba03279157f6d4e0fe8ccaf21963c,16,2575.9,4.3125,11.624953703703703,8.837361111111111,RJ,Silver
04e38a233f726ef161074ab1c9b0399a,23,1352.2,3.7857142857142856,11.575084394290123,11.404136904761904,SP,Silver
04ee0ec01589969663ba5967c0e0bdc0,1,289.49,5.0,3.0675925925925926,0.3616666666666667,RS,Bronze
04fdea0c111866e6cf812f1570d6b5bd,10,1055.0,3.2,18.002058738425927,8.902472222222222,SP,Silver
0509040ea3fe50071181bbc359eb7738,89,3737.95,4.5,11.378378785686728,8.780382653061224,MG,Silver
052577151711aec5c744fe12e66db3e1,4,2748.0,2.25,14.03383101851852,0.8563888888888889,SC,Silver
054694fa03fe82cec4b7551487331d74,21,9983.1,3.3636363636363638,30.169812610229275,20.775568181818183,SP,Gold
056b4ada5bbc2c50cc7842547dda6b51,65,12333.390000000001,4.123076923076923,12.710589921652423,10.057542087542089,RJ,Gold
0570350b23eda5444f8d1d9544932058,6,626.9,5.0,4.799916877104377,0.9516161616161617,SP,Bronze
05730013efda596306417c3b09302475,4,952.0,5.0,9.451623263888889,12.799513888888889,SC,Silver
058cb5aeb36d7c0fcae20fc85d5e0a59,12,1328.0,3.3846153846153846,9.675294174382715,13.65294871794872,RJ,Silver
058fd0aa2bfdb2274e05e1ae971dabb6,61,7667.9,4.40625,10.220733575837741,7.914496527777778,SP,Gold
05a48cc8859962767935ab9087417fbb,1,42.9,5.0,11.276516203703704,0.9777777777777776,SP,Bronze
05a940b4ecae36cadfd8e93bd9c43257,10,952.0,3.9,14.254607767489713,5.457861111111111,GO,Silver
05aebce0b5c8f0d41b29b686f2d05fd3,2,74.99000000000001,5.0,6.0006712962962965,47.63236111111111,SP,Bronze
05ca864204d09595ae591b93ea9cf93d,1,179.9,5.0,5.168472222222222,18.279166666666665,SP,Bronze
05d2173d43ea568aa0540eba70d2ca76,62,5759.66,4.0,14.65211595117845,14.666569865319866,MG,Gold
05e107217c7266362fd44b75b2cd4cc4,5,193.38000000000002,4.125,6.803227719907408,14.856597222222222,SP,Bronze
05f51e13da97139648b8125c31e5f51b,60,13769.01,4.095238095238095,12.29411824845679,4.242125220458553,MG,Gold
05feb94f19d094d4b0f9281f0b1d4c99,6,9353.0,4.5,15.371317515432098,4.118240740740741,SP,Gold
05ff92fedb5be47920fea08e501238b9,59,21992.78,4.209677419354839,12.246267746913581,8.897078853046596,RS,Platinum
062c325cd6a2b87845fab56b4ec2eeae,2,133.22,5.0,5.495763888888889,3.442916666666667,SP,Bronze
062ce95fa2ad4dfaedfc79260130565f,55,7521.0,3.966666666666667,13.336690207156309,10.898027777777777,RS,Gold
06532f10282704ef4c69168b914b77be,8,10220.5,4.222222222222222,16.55254195601852,10.65391975308642,PR,Gold
06579cb253ecd5a3a12a9e6eb6bf8f47,62,4727.2,3.763888888888889,10.958568783068785,6.7577237654320985,SP,Gold
066a6914e1ebf3ea95a216c73a986b91,68,9410.38,3.9726027397260273,14.171297743055554,4.790578078078078,PR,Gold
0691148aee60ca47977c187804f935ae,47,5868.51,4.0,13.014661949685536,9.539842767295598,PR,Gold
0692610d8abe24f287e9fae90ea0bbee,4,173.99,4.0,6.603399884259259,4.583263888888888,SP,Bronze
06a2c3af7b3aee5d69171b0e14f0ee87,392,36408.95,4.0,17.7378431338677,10.141327160493828,MA,Platinum
06bb3a2fe5e7b7a845b13e8fb91bd944,17,1536.19,4.611111111111111,8.900171039094651,8.138703703703705,MG,Silver
06df0c10d34e459d9672bc77388742eb,26,9070.0,4.366666666666666,9.701925925925927,2.949712962962963,PR,Gold
06e5eefc71ec47ae763c5c6f8db7064f,92,22188.56,3.903225806451613,10.9686506869773,10.486763157894737,RS,Platinum
07017df32dc5f2f1d2801e579548d620,8,946.49,4.111111111111111,10.179305555555555,12.379876543209877,PB,Silver
070d165398b553f3b4b851c216b8a358,32,3393.16,3.5,11.01272508528265,10.53593304843305,SP,Silver
0725b8c0f3f906e58f70cbe76b7c748c,17,2190.3,3.7027027027027026,11.780044688786008,17.068205705705704,SP,Silver
0743a0239d764b9a0f959a57d07e36ab,4,336.96,4.75,5.358070023148148,0.5751388888888889,SP,Bronze
0747d5bb69f0586cc869d8af4c50f93e,14,346.59999999999997,3.466666666666667,14.296866096866097,11.238018518518519,RJ,Bronze
0761743cbffb25d7148189e9f1a5f03a,3,241.2,4.285714285714286,14.52374007936508,29.584166666666665,SP,Bronze
077c5fae4bea9500e3737b16f71b9d3a,4,106.80000000000001,4.666666666666667,7.973985339506172,9.440833333333334,SP,Bronze
0791d9fc1e30678ecf03d3e55fa108d3,5,842.0,2.727272727272727,6.251305765993266,3.7010858585858584,MG,Silver
079d295dcbf06ee8bb1b65ba964eb2b6,5,349.3,4.8,6.923537037037038,5.90675,SP,Bronze
07a9bc7f61396b658ddf3ac534efe44c,1,119.9,4.0,5.995138888888889,0.1841666666666666,SP,Bronze
07bf9669d84d1f11be443a9dd938f698,18,1776.0,3.25,8.712097800925926,9.06423611111111,SP,Silver
07d75e33f2750d97d467fb57e4dfdd8a,2,722.4,2.5,11.796643518518518,21.81208333333333,SP,Bronze
07de60b03d150fb3ea09eab5da5e4c8b,9,719.1,4.333333333333333,13.419634773662551,1.8883333333333334,SP,Bronze
07e8e8fc5222bb358e6f259da3197074,2,51.8,4.0,8.63806712962963,0.5820833333333334,SP,Bronze
