tier,sellers,total_revenue,avg_revenue,avg_rating,avg_delivery_days
Platinum,155,7244680.84,46739.876387096774,4.027800083330608,13.077251845205817
Gold,464,3994477.39,8608.787478448276,4.041148650091003,12.834689839411153
Silver,929,1915619.4,2062.0230355220665,4.034771594859011,12.47639611463361
Bronze,1547,436866.07,282.39564964447317,3.9123685737624805,11.649280463272891
