City,customers,revenue,orders
guarapari,64,10544.41,67
itanhaem,77,10506.24,80
santa cruz do sul,60,10360.88,62
valenca,60,10314.05,63
cacapava,72,10160.07,74
catanduva,71,10149.83,75
ribeirao pires,107,10149.63,109
franco da rocha,104,10122.2,109
toledo,70,10053.64,71
jatai,54,10040.37,54
cajamar,99,9873.27,101
caratinga,61,9690.26,62
rio verde,66,9609.9,67
sao roque,77,9602.33,79
caruaru,64,9535.69,64
bertioga,47,9520.55,49
barretos,72,9500.97,73
jau,72,9460.56,74
bage,64,9435.64,65
conselheiro lafaiete,83,9434.37,84
parnamirim,61,9402.89,63
francisco morato,93,9365.31,100
poa,81,9343.45,85
cachoeirinha,68,9297.25,72
paranagua,58,9244.45,60
mesquita,74,9191.92,76
lins,54,9189.96,55
vinhedo,94,9152.87,95
mairipora,74,9087.38,75
pato branco,51,9047.64,53
mogi mirim,71,9010.97,76
lauro de freitas,73,8954.880000000001,75
dourados,59,8907.7,64
ilheus,72,8906.74,72
ubatuba,72,8900.83,76
itapecerica da serra,97,8738.78,98
arapiraca,28,8728.71,29
pinhais,69,8711.82,69
guarapuava,64,8625.45,65
pirassununga,67,8550.33,69
itabuna,60,8523.72,62
manhuacu,65,8510.0,65
jaguariuna,62,8502.37,62
paracatu,60,8430.41,63
brusque,57,8421.55,60
lagoa santa,57,8400.97,60
avare,63,8382.97,64
votuporanga,61,8372.9,63
luis eduardo magalhaes,36,8343.87,36
sao joao del rei,66,8297.97,67
jandira,79,8260.47,85
araguaina,40,8203.539999999999,41
lajeado,48,8188.41,51
leme,48,8152.92,50
videira,47,8107.6,47
lorena,78,7965.02,83
itauna,54,7942.95,57
nova serrana,51,7856.26,51
timoteo,51,7783.7699999999995,54
teofilo otoni,73,7744.23,75
boa vista,44,7739.53,45
alvorada,55,7702.2,56
juazeiro,44,7677.28,44
aruja,66,7614.78,69
colombo,59,7531.9,62
itapira,53,7519.54,55
trindade,28,7510.37,28
francisco beltrao,50,7491.38,52
fernandopolis,53,7445.06,53
tres lagoas,41,7431.320000000001,42
boituva,48,7412.05,50
ibirite,48,7410.68,50
camacari,59,7294.22,61
apucarana,50,7283.7,52
campo mourao,54,7259.52,56
paranavai,46,7228.95,47
tres rios,38,7227.52,40
matao,52,7207.71,52
imperatriz,39,7171.38,40
para de minas,35,7162.08,37
itaborai,57,7134.27,60
ponte nova,39,7106.89,41
jacobina,23,7079.66,24
varzea grande,41,7055.55,42
juazeiro do norte,34,7034.78,34
cubatao,76,6996.03,79
itaperuna,45,6963.57,47
joao monlevade,47,6959.85,51
eunapolis,37,6944.8,38
colatina,63,6925.51,65
sertaozinho,61,6884.13,62
ouro preto,56,6861.5599999999995,57
bento goncalves,54,6828.56,56
unai,53,6825.39,54
patrocinio,46,6817.53,47
pirapora,40,6803.070000000001,42
andradina,41,6794.42,43
navegantes,29,6783.17,31
cosmopolis,49,6747.8,52
lencois paulista,45,6720.22,45
jaboticabal,52,6706.02,54
peruibe,43,6681.02,44
viamao,70,6655.1,73
itapeva,56,6635.93,58
arapongas,34,6617.96,35
paracambi,35,6571.96,35
sao mateus,44,6569.97,48
esteio,41,6521.86,41
paulo afonso,40,6492.59,40
tupa,53,6483.03,53
erechim,53,6478.28,58
sinop,44,6474.65,46
itaguai,47,6417.74,48
uba,51,6369.76,53
mococa,32,6295.97,34
registro,46,6288.47,50
cachoeira do sul,31,6288.32,32
osorio,34,6251.24,35
alagoinhas,39,6249.2300000000005,40
embu-guacu,45,6244.68,46
primavera do leste,27,6232.81,28
paulista,42,6212.37,42
vespasiano,44,6172.59,45
queimados,53,6156.75,54
sao miguel do oeste,40,6155.72,40
itapema,42,6109.87,44
cruzeiro,54,6109.5,56
guaxupe,31,6081.17,37
rolandia,27,6061.03,27
artur nogueira,42,6029.68,43
taio,14,5965.23,15
concordia,49,5963.39,50
olimpia,38,5862.54,38
caucaia,35,5856.66,35
mirassol,29,5850.89,29
vargem grande paulista,43,5833.55,44
lucas do rio verde,24,5807.76,24
umuarama,40,5770.52,41
sapucaia do sul,40,5683.84,40
ijui,50,5584.45,52
batatais,26,5574.8,28
ituiutaba,47,5547.87,56
barra do pirai,51,5543.41,54
curvelo,42,5541.0,44
extrema,40,5477.83,44
catalao,31,5454.03,34
valparaiso de goias,36,5437.85,37
santo angelo,43,5433.26,46
adamantina,35,5425.97,36
guaiba,29,5417.51,31
arcos,24,5391.7300000000005,25
santarem,43,5387.66,44
mongagua,41,5367.53,42
itupeva,44,5355.51,44
alfenas,42,5350.32,43
maracanau,33,5342.73,35
santo antonio de padua,31,5330.88,32
caldas novas,36,5301.63,36
formosa,34,5282.15,34
balsas,16,5274.43,17
arraial do cabo,25,5237.89,29
gurupi,23,5229.29,24
altamira,25,5168.15,25
itumbiara,36,5156.12,36
santa barbara,23,5118.21,26
sao jose do rio pardo,42,5106.24,44
santo antonio da patrulha,17,5100.08,17
tucurui,17,5096.7,17
araucaria,52,5086.1,54
uniao da vitoria,27,5081.93,29
itabirito,31,5078.13,32
pedro leopoldo,40,5057.01,40
mandaguari,17,5039.15,18
santo antonio de posse,19,5027.89,20
campo limpo paulista,47,5013.34,48
bebedouro,50,4992.89,51
salinas,22,4986.7699999999995,22
campo novo do parecis,16,4970.79,16
piraju,18,4954.98,19
montenegro,31,4910.6,32
tremembe,36,4876.03,38
mossoro,36,4875.46,37
sao bento do sul,44,4869.9,45
cianorte,37,4863.67,39
armacao dos buzios,27,4836.4,29
sao sebastiao do paraiso,35,4800.05,36
bom jesus do galho,4,4795.289999999999,4
rio do sul,33,4777.85,35
louveira,42,4777.82,44
penapolis,36,4776.58,37
luziania,30,4761.46,33
capivari,34,4753.16,35
caceres,25,4750.1900000000005,25
joacaba,26,4721.0,26
corumba,28,4700.17,28
juina,17,4695.32,17
telemaco borba,33,4693.49,35
capao da canoa,38,4692.09,38
jequie,34,4687.84,36
bom despacho,39,4680.53,39
saquarema,40,4673.05,47
sao pedro da aldeia,44,4672.43,46
simoes filho,21,4671.48,21
fazenda rio grande,28,4655.49,29
uruguaiana,48,4653.96,48
taquaritinga,33,4604.03,33
carangola,25,4592.0,27
guanambi,38,4589.57,38
cataguases,32,4584.86,33
canoinhas,27,4583.01,27
cacador,40,4569.38,40
monte mor,38,4544.84,40
dracena,28,4538.05,28
guaira,41,4519.02,43
tres coracoes,42,4493.83,43
vassouras,35,4491.8,37
alegrete,34,4483.77,36
sabara,40,4481.78,42
japeri,34,4458.27,34
nova odessa,38,4438.61,38
taquara,21,4427.54,21
ouro branco,39,4419.23,41
mariana,32,4416.58,33
formiga,32,4407.94,32
rio bonito,27,4402.01,28
campo bom,36,4394.71,36
seropedica,32,4391.15,33
promissao,31,4369.85,32
santo antonio de jesus,28,4361.85,30
pacatuba,5,4317.98,5
sao joaquim da barra,31,4302.49,34
biguacu,25,4301.2,25
pereira barreto,19,4294.72,19
almirante tamandare,34,4255.69,35
santana do livramento,20,4248.23,20
passos,43,4247.28,43
sao lourenco,32,4222.89,34
coronel fabriciano,41,4201.7,41
monte alegre do sul,6,4181.79,6
xanxere,28,4175.87,29
boa esperanca,18,4166.39,20
tiete,37,4142.82,37
ariquemes,12,4124.97,13
barra bonita,27,4122.43,29
garanhuns,25,4107.48,31
parauapebas,24,4092.06,27
santa vitoria,16,4083.77,17
barra do garcas,24,4076.2000000000003,25
andradas,11,4070.31,12
aracruz,39,4064.07,41
parnaiba,23,4060.01,23
ponta pora,16,4038.5099999999998,18
patos,16,4036.65,16
abaetetuba,11,4028.57,11
orlandia,28,4027.32,29
