City,customers,revenue,orders
entre rios de minas,6,1503.86,7
imbuia,4,1501.88,4
balneario picarras,10,1501.81,10
santa helena de goias,9,1499.73,9
sao francisco de itabapoana,14,1497.76,15
teutonia,12,1493.6000000000001,14
carmo,13,1493.19,13
corrente,4,1489.9,4
quatro bocas,5,1486.99,5
catu,10,1486.97,10
jose bonifacio,12,1486.34,12
porto real,6,1484.6,7
pojuca,13,1481.09,13
cruz,7,1480.58,7
siqueira campos,9,1478.08,9
quirinopolis,14,1475.95,14
piranguinho,8,1475.65,9
itamaraju,12,1474.13,12
garuva,5,1467.38,5
aperibe,13,1464.94,13
chapada,4,1463.19,4
currais novos,8,1462.79,8
andira,9,1462.18,11
dom pedrito,10,1461.93,10
correia pinto,8,1454.23,11
paraguacu,13,1452.85,13
jarinu,18,1450.38,19
buenopolis,5,1450.38,5
ibitita,1,1450.0,1
lauro muller,8,1449.57,8
sao jose de ribamar,14,1444.82,14
flores da cunha,12,1439.45,12
limoeiro do norte,11,1436.57,12
fatima do sul,4,1436.29,4
marilandia,8,1436.07,8
altinopolis,4,1428.8,4
arroio do meio,9,1425.21,10
itauba,5,1420.98,5
buerarema,4,1420.8,4
torres,16,1416.23,17
nova ponte,9,1409.49,9
baependi,8,1409.04,8
orleans,8,1408.5900000000001,8
sao gabriel da palha,14,1406.8000000000002,14
tanabi,11,1404.39,11
ipaba,8,1403.5,8
bastos,15,1399.6,17
baixo guandu,8,1399.1,8
campinas do sul,6,1398.89,6
formosa do rio preto,3,1398.1299999999999,3
mutum,8,1397.94,8
bonfinopolis de minas,2,1387.2,2
sao felix do xingu,8,1382.7,8
mata de sao joao,11,1382.55,12
biritiba-mirim,10,1381.72,10
barreiros,6,1381.1599999999999,6
joao camara,2,1379.8000000000002,2
bom retiro do sul,3,1379.0,3
guaramirim,13,1377.08,13
santana do acarau,4,1376.8899999999999,4
senador canedo,16,1375.57,16
jequitinhonha,9,1372.3700000000001,11
divinolandia,7,1370.68,7
vila valerio,7,1369.4,8
alto paraiso de goias,9,1367.34,9
ibia,9,1367.29,9
itabera,7,1366.14,7
acarau,6,1364.96,8
itapecerica,12,1363.28,13
aracuai,9,1362.98,9
corinto,10,1362.8600000000001,11
pitangueiras,17,1362.6200000000001,18
iguape,14,1359.5700000000002,14
jacarezinho,15,1356.86,17
malacacheta,7,1355.65,7
morada nova,10,1355.27,10
campestre da serra,2,1348.99,2
afogados da ingazeira,8,1345.98,8
altos,5,1345.39,5
upanema,3,1343.6,3
aguas formosas,5,1341.7,5
itapipoca,11,1341.08,11
pinhao,8,1340.28,9
pirpirituba,1,1340.0,1
divino,14,1338.49,14
cordeiropolis,16,1338.05,16
bezerros,11,1337.29,11
girua,9,1335.28,10
sao joao dos patos,7,1333.08,7
tupaciguara,13,1331.21,13
penedo,9,1329.77,9
sao bento do una,5,1328.3899999999999,5
casca,7,1326.27,7
teodoro sampaio,13,1324.67,13
tabapua,12,1322.96,12
sao miguel do araguaia,5,1321.15,5
apiuna,6,1320.6,7
pirapozinho,13,1319.3700000000001,14
conceicao do mato dentro,12,1317.91,12
guadalupe,4,1313.7,4
itaiopolis,8,1313.5900000000001,8
sao miguel arcanjo,12,1311.09,13
caarapo,4,1310.49,4
fronteiras,3,1308.8000000000002,3
dores de campos,8,1308.1399999999999,8
itapui,7,1307.09,7
ibipora,12,1303.38,12
barbalha,6,1302.98,6
barao ataliba nogueira,1,1300.0,1
barra longa,1,1300.0,1
sao joao,11,1299.09,12
tapiramuta,2,1298.99,2
neropolis,7,1297.22,7
simonesia,8,1295.88,9
astolfo dutra,8,1294.52,11
barroso,11,1289.96,11
alcobaca,4,1289.78,4
sao miguel do iguacu,10,1288.2,10
italva,13,1285.99,14
sao luis de montes belos,8,1284.3700000000001,8
jaguare,14,1283.8500000000001,14
xinguara,9,1282.22,9
sao goncalo do amarante,12,1280.55,12
santa helena,12,1277.85,12
mirandopolis,12,1274.99,13
tres passos,11,1270.21,11
agudos,16,1265.3,16
realeza,6,1264.26,6
pacajus,6,1262.59,6
casa branca,13,1261.58,13
gravatal,6,1260.27,6
itariri,6,1259.32,6
turmalina,10,1257.69,10
balsamo,5,1257.23,6
alto paraiso,2,1256.99,2
duartina,9,1252.67,10
sao goncalo do sapucai,10,1252.4,10
aluminio,13,1252.15,13
iracemapolis,17,1251.88,18
areado,7,1246.69,7
campinorte,7,1244.69,7
pimenta bueno,7,1243.79,8
sao miguel do guama,5,1240.79,5
mendes,12,1240.75,12
botelhos,8,1240.01,8
sao lourenco da mata,12,1239.86,12
guarabira,10,1239.68,10
ouroeste,11,1235.19,11
ivoti,13,1235.1100000000001,13
marituba,13,1235.09,15
parelhas,4,1233.8899999999999,4
dois corregos,11,1233.69,11
descalvado,13,1231.74,13
saloa,3,1231.0,3
nova prata,15,1230.94,16
venturosa,2,1228.9,2
ipaussu,7,1228.72,7
sao joao evangelista,7,1227.66,7
sombrio,10,1225.82,11
colorado,9,1225.48,9
pinheiros,9,1224.31,9
coruripe,3,1222.3,3
capinzal,10,1220.55,10
primeiro de maio,6,1216.67,7
cabedelo,7,1213.95,7
conchas,9,1213.02,10
canarana,11,1211.63,11
espumoso,7,1210.71,7
silvania,7,1208.79,7
palmares,9,1206.82,9
coaraci,4,1201.8799999999999,4
assis chateaubriand,12,1200.31,12
pirangi,8,1199.99,8
bom jesus do araguaia,1,1199.9,1
passagem,1,1199.0,1
riacho de santana,4,1194.7,4
santa gertrudes,12,1194.21,12
rio pomba,6,1192.8600000000001,6
sao jose do vale do rio preto,12,1192.21,12
santana do araguaia,3,1190.8,3
coari,1,1190.65,1
guararema,11,1189.56,11
domingos martins,8,1188.3,9
floresta,10,1184.37,11
guara,9,1182.49,10
ubajara,3,1178.9,3
parapua,6,1178.4,8
igrejinha,17,1173.03,17
schroeder,9,1168.69,9
santo augusto,8,1165.08,9
saltinho,4,1164.79,5
perdizes,8,1163.31,8
colinas,4,1161.86,4
brejo do cruz,1,1160.0,1
guarai,4,1156.6,4
jaguaruana,4,1155.15,4
itaqui,9,1154.38,9
campina grande do sul,10,1152.47,10
areal,7,1152.18,7
sao lourenco da serra,12,1151.95,12
tucuma,4,1150.25,4
urupes,10,1150.14,10
sao bento,5,1148.89,5
salesopolis,10,1146.52,10
arapora,5,1144.38,5
conceicao do araguaia,7,1143.8899999999999,7
forquilhinha,12,1143.85,13
carandai,11,1143.5,11
quixere,3,1143.3,3
uruana,4,1142.29,4
santo antonio da platina,11,1140.61,12
terra de areia,5,1137.29,5
celso ramos,2,1136.79,2
catu de abrantes,2,1135.99,2
camacan,6,1134.67,6
guaraci,4,1131.6999999999998,4
jijoca de jericoacoara,4,1130.9,4
salto de pirapora,13,1130.59,13
santo antonio do pinhal,2,1128.9,2
papucaia,10,1126.77,10
casa nova,6,1126.19,7
delmiro gouveia,4,1125.8,4
aripuana,8,1124.78,8
charqueada,10,1122.67,10
rio negrinho,13,1121.19,13
dourado,9,1120.33,9
sao joaquim,9,1118.98,9
inhambupe,7,1117.78,7
santa teresa,9,1117.36,10
goitacazes,11,1116.3400000000001,11
raul soares,11,1115.51,12
maracai,8,1114.58,8
butia,6,1112.69,6
monte belo,5,1109.78,5
chapadao do ceu,7,1108.57,8
nova roma do sul,1,1106.99,1
cocal,8,1106.77,8
herval d'oeste,9,1106.74,9
entre rios,6,1103.4,6
mundo novo,6,1102.99,6
capanema,13,1100.47,14
prata,11,1099.48,11
santo antonio do aracangua,1,1099.0,1
caicara do norte,1,1099.0,1
guarei,5,1098.29,5
campo alegre,3,1098.0,4
pontal,13,1097.38,13
palmeira dos indios,8,1094.41,8
reriutaba,3,1093.32,3
prado,5,1090.79,5
engenheiro coelho,12,1089.47,13
itaberaba,10,1089.16,10
goianapolis,4,1086.98,4
sao jose da lapa,8,1086.58,8
alto araguaia,5,1085.73,5
pontal do parana,8,1084.26,8
goias,8,1084.21,8
barcarena,6,1084.17,6
braganca,9,1083.96,9
cristina,8,1079.32,8
ervalia,7,1076.83,7
brotas,12,1073.08,12
toritama,5,1072.79,5
fundao,5,1072.68,5
capao do leao,4,1072.25,4
acreuna,7,1070.43,7
pauliceia,3,1070.27,3
nova aurora,4,1065.8899999999999,4
confresa,7,1065.6499999999999,7
sumidouro,9,1060.68,10
caraubas,3,1059.29,3
patrocinio paulista,2,1059.2,2
ibaiti,9,1057.3600000000001,11
pompeu,11,1055.18,11
frederico westphalen,14,1053.45,14
catas altas,5,1052.85,5
santana do mundau,3,1052.8,3
itapejara d'oeste,6,1049.9,6
nova prata do iguacu,6,1049.78,6
godoy moreira,1,1049.0,1
santa maria madalena,7,1046.09,7
rolante,10,1044.15,10
costa rica,11,1043.66,12
valenca do piaui,4,1043.0,4
rio das pedras,11,1042.64,11
sousa,7,1042.59,7
capinopolis,11,1042.18,11
pedregulho,2,1039.4,2
alhandra,2,1037.0,2
arroio dos ratos,8,1034.18,9
rubiataba,7,1034.09,7
itambe,8,1033.28,8
aguas da prata,10,1028.28,10
terra roxa,7,1026.95,7
ibirama,13,1026.5,13
jaguarao,8,1025.29,8
sao sebastiao da grama,4,1024.79,4
buritama,9,1024.24,9
brodowski,10,1020.54,10
cajobi,8,1018.4300000000001,8
japuiba,4,1017.58,5
oriente,3,1017.2700000000001,3
sobradinho,9,1015.59,9
garibaldi,10,1014.8,10
mar de espanha,9,1014.72,9
picarra,1,1014.5999999999999,1
xangri-la,7,1013.58,8
hidrolandia,7,1012.76,8
itaberai,6,1012.08,6
raposos,11,1009.52,11
santa cecilia,7,1006.12,7
bom principio,6,1003.11,6
serranopolis,3,1002.88,3
pedreiras,3,1002.69,3
pilar do sul,12,1002.36,12
macau,5,998.88,5
conceicao do coite,9,997.89,9
taruma,9,997.72,9
primavera,9,996.78,9
campo maior,7,993.66,7
ortigueira,8,993.29,8
araquari,11,993.25,11
lajedo,7,988.0899999999999,7
sarzedo,18,987.9300000000001,18
sao jose da barra,6,987.14,6
tabira,5,986.88,5
cacu,8,982.6800000000001,8
seabra,6,982.5,6
tarabai,5,982.35,5
luis antonio,7,980.08,7
inhapi,2,979.9,2
santo estevao,5,979.81,5
mangaratiba,13,974.84,13
cosmorama,6,973.98,6
eugenopolis,5,973.87,5
rio brilhante,11,972.28,11
sao jose do calcado,6,970.18,6
lagoa dos gatos,3,969.99,3
mamanguape,6,969.75,6
nova santa rita,6,968.76,6
arapoti,9,966.97,9
fervedouro,8,965.76,8
sapezal,8,964.82,8
estiva gerbi,5,964.26,7
uruara,6,962.4,6
lucelia,12,961.35,12
piratuba,6,958.98,6
munhoz de melo,4,953.89,4
aimores,10,951.37,10
abadiania,1,949.99,1
fronteira,6,949.6600000000001,6
cristalandia,3,948.69,3
monte aprazivel,9,948.11,10
dormentes,2,946.8,2
bom sucesso,5,946.5899999999999,5
benedito novo,6,945.74,6
cardoso,6,944.8100000000001,6
condado,4,944.8,4
paicandu,10,943.16,10
palma sola,4,938.8,4
buri,10,938.3199999999999,10
acailandia,7,937.79,7
gouveia,4,936.96,4
porciuncula,7,936.8800000000001,8
campos de julio,6,934.8,6
poco fundo,8,933.99,8
canelinha,4,933.94,4
rosario do sul,12,933.25,14
taua,10,933.13,10
concordia do para,3,929.78,3
figueira,4,928.78,4
itaju,2,927.8,3
chavantes,12,926.52,12
arceburgo,7,924.14,7
jeremoabo,6,922.0799999999999,6
cabrobo,6,921.79,6
holambra ii,5,919.68,5
arroio do sal,5,918.97,8
varre-sai,4,918.9,4
sertanopolis,4,918.8,4
serrana,13,917.9,13
otacilio costa,5,913.29,5
mairi,2,913.0,2
jacaraci,3,911.79,4
sao lourenco do oeste,10,911.37,11
julio mesquita,2,909.99,2
guapiacu,6,906.98,6
encruzilhada do sul,8,903.99,8
alfredo chaves,6,902.71,7
itaja,3,902.0,3
pradopolis,10,901.0,10
candido godoi,1,900.0,1
bela cruz,4,899.9,4
grao mogol,3,899.8,3
balneario pinhal,7,898.57,8
borda da mata,6,897.53,6
regente feijo,10,897.01,10
areiopolis,3,896.49,3
crixas,7,893.6800000000001,8
urussanga,10,893.6800000000001,10
juru,1,890.0,1
barra do corda,7,889.89,7
irapuru,6,889.48,6
lutecia,1,887.0,1
itaguari,1,887.0,1
jordania,5,886.25,5
icem,8,885.97,9
urania,3,885.72,4
treze tilias,11,885.66,11
itamonte,9,883.15,10
pecanha,5,882.7,5
sao luis do paraitinga,3,882.49,3
ecoporanga,8,881.9200000000001,8
virginopolis,7,881.64,8
taiuva,5,881.54,5
mirai,8,880.8100000000001,9
paraopeba,9,880.67,9
paudalho,2,878.9,2
santa fe,5,877.8,5
capivari de baixo,5,876.89,5
sao domingos do norte,7,874.4000000000001,7
coroata,8,873.48,9
macaubas,9,873.37,9
palotina,10,872.76,10
california da barra,6,871.97,6
matupa,5,871.1700000000001,7
nova trento,6,870.6,6
monte santo de minas,9,869.28,9
formoso,3,867.99,3
itaobim,6,866.9100000000001,6
bom jardim de minas,8,866.87,8
santo antonio do descoberto,5,866.26,5
conceicao da aparecida,6,866.0799999999999,6
vargem grande do sul,14,864.6,14
conservatoria,4,864.09,4
miracatu,5,863.99,5
cambara,10,863.1700000000001,10
paulistana,3,862.6700000000001,3
goianesia do para,3,861.99,3
assai,6,861.5699999999999,6
sao joao do sul,2,861.0,2
barra da estiva,6,860.57,7
cacapava do sul,5,859.99,5
quixeramobim,6,859.79,6
nao-me-toque,6,859.6800000000001,7
coronel vivida,11,856.87,11
porto belo,9,856.3199999999999,9
brazopolis,6,856.13,6
goianira,8,853.8100000000001,8
paraiso,5,850.6800000000001,6
santa quiteria,5,849.67,5
itapoa,9,849.67,9
rodeio,7,849.66,7
faxinal,9,848.05,9
iaciara,4,846.99,4
sao miguel,3,846.86,4
colonia jordaozinho,2,843.4,2
inaciolandia,3,842.99,3
borborema,9,842.9499999999999,9
quedas do iguacu,7,842.25,8
sao benedito,5,841.83,5
itacare,8,841.39,8
tres marias,12,840.44,13
lago da pedra,5,840.3699999999999,5
barra do bugres,3,840.25,4
santana do cariri,3,839.8,3
prudentopolis,7,839.09,7
serro,2,837.89,2
boa esperanca do sul,11,836.9,11
alpinopolis,6,836.6800000000001,7
milagres,4,836.54,4
capela do alto,3,833.99,3
arrozal,3,833.89,3
pedro de toledo,9,833.11,9
cachoeira do campo,2,828.99,2
itapuranga,7,828.78,7
simao dias,7,828.48,7
lavras da mangabeira,2,827.88,2
soledade,8,827.69,8
dois irmaos do buriti,3,826.9,3
conceicao do rio verde,5,825.89,5
campos borges,3,825.89,3
cruzeiro do oeste,7,825.39,7
joanopolis,4,824.6,6
colonia castrolanda,3,824.03,3
potirendaba,9,823.32,9
dianopolis,7,822.95,7
nuporanga,3,821.8,3
sao jose de mipibu,3,821.69,3
conde,2,819.0,2
angatuba,8,818.75,8
chui,4,818.6999999999999,5
mambai,2,816.99,2
sao marcos,9,816.4200000000001,9
nazare paulista,6,815.64,7
rio manso,5,815.5600000000001,5
serafina correa,9,813.66,9
sao miguel dos campos,2,813.36,2
jacare,8,810.0400000000001,8
murutinga do sul,2,809.0,2
ibira,7,808.73,7
bayeux,7,808.05,7
planalto,9,807.68,9
alvinopolis,11,807.06,11
mozarlandia,6,806.4,7
novo cruzeiro,6,805.78,9
guaranesia,9,805.5799999999999,9
candiota,4,802.7,4
sao goncalo do rio abaixo,6,802.2,6
santa rita do araguaia,7,800.25,7
canavieiras,6,799.8,6
sandolandia,1,799.0,1
barra do choca,3,799.0,3
cidade gaucha,5,798.39,5
tapes,6,797.3499999999999,6
arataca,1,795.0,1
alfredo wagner,2,794.8,2
igarapava,7,791.09,7
regeneracao,6,790.97,6
itarana,3,789.37,3
campos belos,7,788.0699999999999,7
julio de castilhos,10,787.54,10
echapora,2,787.47,2
ipiau,8,787.21,8
mallet,6,786.65,6
santa cruz,6,786.64,6
jacupiranga,5,785.8,5
taguatinga,6,784.89,7
laurentino,5,782.41,5
campo verde,10,781.38,10
mambore,8,780.24,8
datas,1,780.0,1
santana do serido,2,779.7,2
arraial d'ajuda,8,779.42,8
icatu,1,778.0,1
alto parnaiba,5,777.79,5
tarumirim,4,775.49,4
trajano de moraes,8,775.1800000000001,8
tres coroas,6,774.37,6
portao,10,772.15,10
piquete,9,771.09,9
aguas belas,6,769.87,6
jaboticatubas,1,767.3,1
guaicara,8,767.23,8
cansancao,5,766.96,7
salto do lontra,4,766.49,4
paco do lumiar,7,766.38,7
lima duarte,5,764.88,6
igarata,5,764.0899999999999,5
sao pedro dos ferros,3,763.79,4
santa branca,9,763.76,9
moreno,5,763.5,5
morretes,4,762.98,4
nova veneza,7,762.84,7
amarante,1,760.0,1
aracariguama,9,759.75,10
jaguapita,1,759.05,1
guapo,6,757.89,6
avanhandava,7,757.6800000000001,7
sao martinho,3,756.99,3
sao joao do itaperiu,1,755.99,1
carbonita,3,755.87,4
carlopolis,6,755.4,6
chapada dos guimaraes,4,754.8,4
planaltina,10,754.24,10
trancoso,6,754.2,6
arinos,8,752.0699999999999,8
amambai,6,751.98,6
alto taquari,3,750.88,3
matozinhos,12,750.65,12
ilhota,4,749.1400000000001,4
varjota,4,748.97,4
tucano,8,748.69,8
sao felipe,2,747.9,2
lagoa do carro,2,746.77,2
getulio vargas,8,746.61,8
santa rita de caldas,6,746.28,6
mimoso do sul,10,745.37,10
dores do indaia,6,744.57,7
pedralva,3,743.97,3
nova londrina,8,743.53,9
sao joao d'alianca,3,743.53,3
santa isabel do para,6,741.77,6
imbituva,7,740.6700000000001,8
barra de sao francisco,9,740.66,10
glicerio,4,739.98,4
santa isabel do rio preto,1,739.9,1
aurora,5,739.59,5
resplendor,10,739.0600000000001,10
virgem da lapa,3,737.9,3
porecatu,9,735.42,10
sao goncalo do para,3,734.9,3
itajuipe,3,734.49,3
corbelia,3,733.8,3
vila muriqui,7,731.76,7
tocantinopolis,7,731.65,7
seara,6,730.85,6
solonopole,2,729.89,2
barros cassal,3,729.0,3
cananeia,8,727.66,8
bicas,6,727.65,7
ribeirao bonito,7,727.29,7
sao jose do divino,2,727.0,2
sapucaia,6,726.64,6
joao neiva,8,724.9300000000001,8
sabino,3,723.0,3
cabreuva,6,720.6,6
colniza,3,718.97,3
piranhas,3,718.79,4
boninal,2,717.6999999999999,2
bananal,6,716.65,6
dumont,4,714.7,4
cerro largo,7,712.87,7
maravilha,12,711.97,12
alcinopolis,4,711.1600000000001,6
vargem bonita,5,710.59,5
bilac,8,710.52,9
sao mateus do maranhao,3,710.2,3
juquia,10,710.0799999999999,10
santa cruz de goias,2,709.0,2
arari,2,708.8,2
maioba,3,708.79,3
urandi,2,707.94,2
taguai,10,707.34,10
sao bernardo,3,706.79,3
espigao do oeste,6,706.6800000000001,6
santa cruz de monte castelo,4,706.22,4
cidade ocidental,8,705.38,8
ubaira,6,704.79,6
peabiru,5,704.74,5
estacao,5,704.1,5
maracas,4,703.64,5
lagoa da confusao,5,699.99,5
bom jesus do norte,4,699.89,4
pejucara,4,699.65,4
matoes do norte,2,698.9,2
marmeleiro,7,698.44,7
carapebus,5,696.97,5
goiana,12,695.63,13
guaiuba,1,695.0,2
conceicao do para,3,694.99,3
pedro osorio,3,692.4499999999999,3
morro de sao paulo,1,691.96,1
andorinha,5,691.1,5
catanduvas,6,690.79,6
divisa nova,1,689.9,1
cantanhede,1,689.0,1
guabiruba,5,688.78,5
ze doca,5,688.5999999999999,5
rio pardo,6,687.88,6
santa albertina,7,686.39,7
terra boa,4,683.79,4
jaiba,5,683.49,6
araguatins,4,681.98,5
tocantins,6,681.38,6
rio paranaiba,9,680.27,9
abelardo luz,6,679.6999999999999,6
cuite,4,678.89,4
abrantes,2,678.0,2
tracunhaem,2,677.99,2
cacequi,4,676.99,4
rio do campo,4,674.95,4
taquarivai,3,674.89,3
sao ludgero,3,673.3199999999999,3
brasilia de minas,8,671.74,9
alta floresta d'oeste,3,669.89,3
papanduva,8,669.41,8
catigua,6,668.57,6
palmitos,5,667.9,5
pesqueira,9,667.79,9
itau,2,666.8,2
muzambinho,8,665.8,9
caetanopolis,8,664.5699999999999,8
jaguaribe,5,663.98,5
ruy barbosa,7,662.96,7
garrafao do norte,3,662.89,3
piedade de caratinga,7,662.07,7
anicuns,8,661.9300000000001,8
jaru,6,660.59,6
medeiros neto,6,660.24,7
campina verde,10,659.48,10
morada nova de minas,3,658.89,3
marilac,1,657.8,1
cidreira,5,656.12,5
livramento de nossa senhora,5,655.54,5
jequeri,1,655.0,1
coribe,6,654.97,8
belem do sao francisco,2,654.5,2
presidente getulio,7,654.1800000000001,7
itirucu,3,653.28,3
grajau,4,652.79,5
baldim,2,650.99,2
jardim,5,648.65,5
jatoba,4,648.24,5
acopiara,7,647.67,7
lagoa formosa,7,647.5699999999999,7
tres cachoeiras,6,646.27,7
cunha pora,4,645.4200000000001,5
caninde,6,645.38,6
terra rica,7,644.6700000000001,7
frei inocencio,5,644.29,5
carmo de minas,3,643.96,3
cajuru,9,643.76,9
buriticupu,4,640.77,5
esperantinopolis,3,640.61,3
salto grande,1,640.0,1
maristela,4,639.3199999999999,4
urucui,4,638.97,4
jequitiba,2,636.9,2
miranorte,2,635.9,2
itaperucu,4,635.84,4
nova europa,8,634.44,8
madre de deus,7,633.32,7
jucurutu,4,632.98,4
conceicao dos ouros,4,632.78,4
juti,4,631.79,4
manoel ribas,4,631.65,4
sao bento do sapucai,7,630.54,7
nhandeara,8,630.26,8
cururupu,3,629.26,3
iati,3,628.99,3
morro reuter,3,627.34,3
alto santo,3,622.89,3
barro,4,621.89,4
camapua,6,621.29,6
belo oriente,5,620.39,5
monte azul,5,619.9,5
perola d'oeste,2,619.9,2
itororo,2,619.2,2
nova hartz,3,618.88,3
sao cristovao,7,618.69,7
mario campos,4,618.64,4
ribeira do pombal,8,618.19,8
maracacume,4,617.18,4
miguel calmon,5,616.64,5
jauru,5,613.79,5
firminopolis,5,613.49,7
acu,3,613.08,3
bataguassu,5,613.0,5
joao lisboa,4,612.89,5
nepomuceno,9,610.94,9
ivai,2,610.7700000000001,2
jaragua,7,610.67,7
graccho cardoso,1,610.0,1
santo cristo,7,609.45,7
porto dos gauchos,1,609.0,1
breves,1,609.0,1
anitapolis,2,608.99,2
colina,8,608.68,9
bela vista de goias,7,608.66,7
juatuba,4,607.9,4
itaitinga,4,606.89,4
lindoia,9,606.03,9
avelar,4,606.0,4
lagoinha,3,605.98,3
guaraciaba do norte,4,605.15,4
jupi,2,604.9,2
conceicao da feira,2,603.99,2
perdoes,8,603.88,9
comendador levy gasparian,7,603.6899999999999,7
itambacuri,6,601.77,6
pirai do sul,7,601.29,7
matias olimpio,1,600.0,1
lavrinhas,1,599.9,1
sao francisco de paula,7,599.6800000000001,7
canto do buriti,1,599.5,1
campanha,7,598.79,7
vere,3,598.39,3
rio pardo de minas,5,597.69,5
pouso redondo,3,597.29,3
sao joao do paraiso,6,596.53,6
nova mamore,2,594.9,2
bady bassitt,7,594.7,7
lavras do sul,3,593.8,3
fernando prestes,6,591.48,6
pedra preta,5,589.79,5
paulo de faria,5,588.5799999999999,5
coronel joao sa,3,587.99,3
passo de torres,7,587.99,7
lagoa dourada,5,586.78,5
senador pompeu,4,585.94,4
custodia,5,584.88,5
raposo,2,584.7,3
morungaba,7,582.6899999999999,7
uchoa,3,582.64,3
marco,3,582.6,3
ubirata,7,582.1800000000001,7
capela,2,580.9399999999999,3
santa cruz das palmeiras,9,580.59,9
medina,6,579.19,6
jaqueira,3,578.99,3
santa cruz de minas,4,578.89,5
tanque d'arca,1,578.0,2
anta gorda,4,577.7,4
horizontina,7,576.54,7
aracoiaba,5,576.47,5
aguas vermelhas,3,574.58,3
macaiba,5,574.4399999999999,5
mateus leme,9,574.27,9
candelaria,4,573.39,4
sirinhaem,5,571.88,5
nova mutum,5,571.38,5
sapucai-mirim,4,569.79,4
sao jeronimo,7,569.75,7
guaranta,5,569.29,5
ipiabas,3,568.87,4
alfredo vasconcelos,3,567.99,3
timbauba,7,567.67,7
silva jardim,4,567.59,4
barra de santo antonio,2,567.0,2
hidreletrica tucurui,3,564.78,3
porto xavier,5,564.46,5
padre carvalho,1,563.0,1
rio largo,6,562.71,6
paulo frontin,4,560.9,5
campo ere,7,560.6,7
paranapanema,10,560.45,11
paulino neves,1,559.99,1
araruna,5,559.87,5
marechal floriano,5,559.64,5
desterro,1,559.0,1
nossa senhora das dores,1,559.0,1
paraipaba,4,558.97,5
rio das flores,6,558.68,6
irai,2,557.89,2
sao valentim,3,557.89,3
morro do chapeu,7,557.57,7
ibiai,3,556.89,3
parauna,4,556.88,4
jesuitas,4,556.5500000000001,4
rafard,5,556.4,5
castelandia,4,554.98,5
antonio prado,4,554.2,5
barra do ribeiro,5,553.78,5
oeiras,6,553.44,6
itapecuru mirim,4,552.97,4
rio do pires,3,552.8,4
rifaina,2,552.8,2
paracuru,5,550.89,5
eldorado,7,550.66,7
uibai,4,549.98,4
nova bandeirantes,4,548.51,4
sao jose do norte,7,548.5,7
capim grosso,5,547.89,5
apiai,6,547.5699999999999,6
surubim,5,546.87,5
orizona,6,546.8100000000001,6
teixeira soares,2,545.69,2
sao sepe,6,544.35,6
jeceaba,5,544.23,6
campos gerais,5,544.0600000000001,5
cristais paulista,4,543.78,4
pinheiro machado,5,542.89,5
roque gonzales,4,542.88,5
orindiuva,5,541.78,5
guaracai,4,541.49,5
sao sebastiao do paraiba,1,540.0,1
catuipe,4,539.8,4
campo novo,2,539.79,2
canapolis,5,539.45,6
sales oliveira,6,538.15,6
piripiri,7,537.28,7
rio novo,4,536.79,4
iguai,2,535.99,2
sao miguel do tapuio,3,534.0,3
cristal,3,533.0,3
francisco sa,3,532.8,3
pitanga,3,532.7,3
rio novo do sul,6,531.68,6
ariranha,5,531.49,5
posto da mata,4,530.98,4
cacule,3,529.78,3
vianopolis,3,529.6700000000001,3
tanhacu,4,528.78,4
sao gabriel do oeste,7,526.72,7
iguaracu,1,525.7,2
curuca,2,524.7,3
ilha de itamaraca,4,524.44,4
euclides da cunha,5,524.1800000000001,5
guimarania,4,523.9,4
fortuna,3,523.89,3
horizonte,5,519.99,5
mar vermelho,1,519.98,2
campina da lagoa,3,519.7,3
uaua,4,519.0,4
araputanga,4,517.45,4
ubaitaba,4,517.23,4
gloria do goita,2,516.99,2
ivaipora,7,516.75,7
santa cruz cabralia,5,515.88,5
arcoverde,5,515.8,5
bela vista do paraiso,3,515.49,3
lajinha,3,515.0699999999999,3
rio acima,8,513.66,8
rio piracicaba,4,512.75,4
fatima,3,511.8,3
limoeiro,7,511.59,7
analandia,4,511.03,4
xambre,1,511.0,2
tiradentes,4,510.86,4
colinas do tocantins,3,510.5,3
ipora do oeste,6,509.85,6
conceicao do castelo,5,507.83000000000004,5
ibiraci,4,507.8,4
denise,2,507.0,2
valparaiso,8,506.92,8
pote,3,506.9,3
santo antonio do jacinto,8,505.49,8
tangua,6,504.88,6
guarara,2,501.99,2
urbano santos,4,501.79,5
cardoso moreira,6,500.02,6
jiquirica,1,499.99,1
vargeao,1,499.9,1
palestina,10,499.55,10
sao tiago,5,499.27,5
esperantina,5,499.1,5
jaquirana,1,499.0,1
lobato,3,498.53999999999996,3
barbosa ferraz,2,497.9,3
cachoeira de minas,7,497.40000000000003,7
presidente bernardes,6,496.85,6
potiragua,7,495.97,7
ipupiara,1,495.0,1
altonia,3,494.9,3
general salgado,7,493.59,7
florestopolis,3,492.70000000000005,3
ribeirao claro,5,492.69,5
matipo,3,491.19000000000005,4
caldas,5,489.7,5
sao domingos,7,489.14,7
sao sebastiao do alto,4,488.98,4
una,5,488.78,5
senges,5,487.39,5
sao jose do cedro,4,486.59000000000003,5
barra de guabiraba,2,486.4,2
pirapetinga,8,486.39,8
muqui,4,485.48,4
barra dos coqueiros,3,484.82000000000005,3
piritiba,5,484.69,6
propria,4,483.89,4
