State,orders,avg_delivery_days,avg_processing_hours,late_delivery_rate,avg_freight_value,avg_freight_ratio
RR,46,28.23101147342995,40.23502136752136,0.10869565217391304,42.98442307692308,0.3252123844573377
AP,68,28.205959790809327,17.643783875338755,0.04938271604938271,34.00609756097561,0.25142926688556233
AM,148,26.390967180754373,9.217225568942435,0.04294478527607362,33.20539393939394,0.29551848737340813
AL,413,24.489141810868244,12.267842072409488,0.24121779859484777,35.843671171171174,0.26930620370359365
PA,975,23.7540533747101,12.176718011912097,0.12428842504743833,35.83268518518519,0.2763925281439293
MA,747,21.648666666666667,14.532914323962517,0.20375,38.25700242718447,0.3045359419962394
SE,350,21.467353209876542,10.673898171950873,0.16266666666666665,36.65316883116883,0.27888789382677864
CE,1336,20.9874645148304,11.687917696860717,0.15287517531556802,32.71420162381597,0.2641014464113161
AC,81,20.71554995929996,13.544897342995169,0.03296703296703297,40.07336956521739,0.2894716428871458
PB,536,20.589148298255594,14.70630119375574,0.11262798634812286,42.72380398671096,0.28766887071414216
RO,253,19.73936588488672,12.726731448763251,0.040293040293040296,41.06971223021583,0.31932584282566057
PI,495,19.38470980720204,10.716185287497442,0.15487571701720843,39.147970479704796,0.28454087397080813
RN,485,19.32527508974906,10.7043593358396,0.1036468330134357,35.6523629489603,0.28266696287778986
BA,3380,19.247617962535575,11.845903523319077,0.1368449633450991,26.363958936562252,0.24824676828189066
PE,1652,18.27926698193755,10.835885666052793,0.10194730813287514,32.917862679955704,0.2691166869842601
MT,907,17.961681812296867,13.144692844402476,0.06750241080038573,28.166284360189575,0.24788791908360688
TO,280,17.4483853046595,12.199232594936708,0.12258064516129032,37.24660317460317,0.28845960713142255
ES,2033,15.649065751144404,10.725518960605166,0.12224719101123596,22.058776595744682,0.2302621090897094
MS,715,15.534071690756724,10.342212121212123,0.10850801479654747,23.374884004884002,0.22569809044055045
GO,2020,15.403337684412564,13.019521828782707,0.07861220904699165,22.76681525932276,0.22948098156824173
RS,5466,15.188565554589319,12.196143642044346,0.06880808739605414,21.73580433039294,0.22927365948439185
RJ,12852,15.148467143735175,9.672347836640572,0.1297186483811678,20.960923931682558,0.21829442181041872
SC,3637,15.001540309297217,11.58035452257979,0.0961444607125427,21.47036877394636,0.22603330480690073
DF,2140,12.95899312436109,10.533143093465673,0.07430997876857749,21.04135494596841,0.22518103490885816
MG,11635,11.983905753149022,10.513662926217645,0.054501819307888826,20.63016680630665,0.2207784607962482
PR,5045,11.94721725780702,11.42184784698193,0.04779607010090282,20.531651567944248,0.22610573174600287
SP,41746,8.723795135225497,10.105346528374167,0.057683612169756475,15.147275390419185,0.1870379387859885
